법정동시도코드,시도명,법정동시군구코드,시군구명,시간코드,전체_카드,교통,백화점,소형유통,숙박,스포츠외,여행,요식,의료,주유,주차장,편의점,할인점외
48,경남,250,김해시,52,17073,4093,2205,6171,679,2360,526,16805,1081,5174,1447,7217,7805
27,대구,290,달서구,51,25743,8203,3651,8623,952,3226,188,25076,970,6277,1788,10569,11742
47,경북,113,포항시 북구,51,14410,4343,1557,5243,557,1826,131,13675,884,4371,966,5387,6440
48,경남,720,의령군,54,159,28,6,66,0,17,0,147,7,37,8,71,59
47,경북,190,구미시,55,16046,6805,1764,6134,628,2029,125,16199,697,4861,1079,7390,7220
41,경기,461,용인시 처인구,51,2951,781,420,1184,117,495,29,3079,136,838,346,1425,1278
41,경기,190,부천시,55,12416,4149,1894,4804,590,1978,206,13646,601,2691,1220,6133,5924
47,경북,210,영주시,55,988,431,90,425,38,104,6,1050,44,278,75,475,459
47,경북,111,포항시 남구,52,11987,3609,1244,4317,570,1647,124,11587,785,3763,843,4683,5563
29,광주,155,남구,51,8438,2980,1054,3271,347,1270,107,7979,456,2378,865,3106,3721
42,강원,780,철원군,54,399,81,44,167,19,75,0,410,0,124,40,197,144
47,경북,290,경산시,53,23510,7082,3009,8074,802,2899,212,21838,898,6381,1498,9577,10588
27,대구,140,동구,53,30313,10091,5469,10455,1184,3532,317,29112,1147,7766,1958,12464,13509
29,광주,110,동구,51,4779,1726,642,1740,218,616,47,4572,204,1250,450,1784,2074
11,서울,200,성동구,54,30163,10665,5252,11853,1681,5295,447,36964,1466,4900,2659,15066,13853
11,서울,215,광진구,52,22903,8515,4189,9156,1117,3893,379,28712,963,3116,1738,12508,10740
48,경남,840,남해군,52,259,75,20,100,6,17,0,242,8,62,22,113,93
42,강원,110,춘천시,54,37465,16647,3088,16199,1700,6289,415,42309,1931,10472,2462,18522,18133
28,인천,140,동구,52,1553,447,191,525,53,193,15,1532,72,300,108,706,672
48,경남,220,통영시,52,664,275,85,250,32,87,8,663,22,184,53,308,291
46,전남,860,함평군,52,425,86,55,174,16,36,0,337,11,109,24,126,140
41,경기,465,용인시 수지구,53,24270,6514,5472,9844,1234,4453,303,26994,1168,6109,2622,11008,10800
42,강원,110,춘천시,53,43794,18687,3485,18805,1989,7175,459,48943,2319,12272,2846,21443,21151
48,경남,820,고성군,54,311,102,46,125,15,15,0,284,8,76,18,145,141
43,충북,113,청주시 흥덕구,54,22756,10161,3909,8849,1031,3834,239,23936,1071,6536,2400,10462,10499
45,전북,770,순창군,54,288,68,31,105,0,18,0,224,8,82,16,96,104
41,경기,550,안성시,55,2371,809,290,1002,74,334,10,2402,114,713,191,1227,1049
47,경북,900,예천군,55,286,89,22,121,7,15,0,283,8,92,24,117,114
47,경북,170,안동시,51,2662,1036,295,1103,140,321,8,2896,149,686,190,1237,1252
41,경기,360,남양주시,51,23791,7770,4054,9702,1102,3480,274,26534,1107,5718,2378,11441,10760
11,서울,620,관악구,53,71945,26290,10904,28245,2907,10947,1058,87811,3029,9527,4629,39221,34299
47,경북,290,경산시,55,8280,2924,1145,2866,334,1134,65,8166,303,2315,622,3645,3683
45,전북,750,임실군,53,425,130,34,166,21,42,0,329,13,117,22,125,140
11,서울,200,성동구,52,29197,9989,5054,11433,1623,5104,435,35454,1491,4784,2571,14362,13418
44,충남,200,아산시,52,27777,10392,2686,11128,981,3736,190,25844,1063,7790,2478,11861,11202
26,부산,290,남구,52,13887,5202,2267,4247,631,1700,295,12548,806,3008,1422,5217,5748
48,경남,310,거제시,53,2448,742,333,939,134,289,51,2271,128,640,221,1083,1076
42,강원,230,삼척시,52,1855,737,152,773,101,217,27,1882,104,511,164,874,855
43,충북,111,청주시 상당구,53,9891,3726,1218,4192,440,1537,99,10471,556,2917,1036,4481,4354
48,경남,330,양산시,55,4692,1437,550,1631,194,593,119,4485,196,1334,498,1953,2009
42,강원,770,정선군,53,1859,673,158,767,159,217,12,1735,90,594,108,939,710
48,경남,720,의령군,51,129,23,0,58,0,6,0,108,6,25,0,54,40
42,강원,170,동해시,54,3483,1335,270,1431,234,522,36,3558,188,994,312,1697,1463
46,전남,910,신안군,53,493,202,51,180,24,46,0,397,23,140,27,176,202
42,강원,130,원주시,55,10650,4376,1401,4394,505,1682,100,11698,515,3236,1150,5099,4904
41,경기,111,수원시 장안구,55,7163,2716,1365,2859,303,1188,89,8082,297,1801,848,3443,3304
41,경기,290,과천시,52,6565,1751,960,2368,385,1146,79,7414,378,1534,698,2834,3070
27,대구,110,중구,51,6357,2521,1232,2105,277,843,61,6470,274,1417,473,2822,2618
42,강원,150,강릉시,52,20147,7374,1325,8757,1217,2968,361,20482,1410,5958,2079,9051,8268
41,경기,117,수원시 영통구,55,11617,4292,2220,4486,507,1950,119,12962,444,2790,1249,5492,5108
30,대전,170,서구,51,44060,16525,7511,15752,1765,5418,405,39908,1593,9805,3512,17178,17987
47,경북,210,영주시,54,2629,1073,260,1104,94,303,11,2651,111,708,174,1229,1139
29,광주,110,동구,55,1941,756,275,697,101,260,26,1888,76,521,190,810,853
11,서울,320,도봉구,55,5613,1897,846,2369,247,851,83,6739,313,1047,425,2944,2767
28,인천,260,서구,54,22826,7259,2947,8406,1001,3415,486,23685,1050,4964,2489,10470,10038
48,경남,890,합천군,51,237,48,20,89,6,7,0,209,6,71,23,75,88
41,경기,550,안성시,54,5381,1710,606,2325,189,728,34,5288,301,1566,420,2585,2326
27,대구,260,수성구,51,34790,11074,6756,11964,1654,5214,341,33793,1472,8915,2446,13233,14782
41,경기,287,고양시 일산서구,54,21991,5810,3857,9054,982,3823,412,24931,1353,5450,2082,10422,10114
46,전남,820,해남군,53,1213,279,126,512,45,121,6,1016,68,347,63,471,407
28,인천,720,옹진군,51,189,56,21,80,0,6,0,180,0,61,17,99,85
48,경남,310,거제시,55,562,219,83,206,26,53,9,503,21,160,58,230,264
27,대구,110,중구,55,3694,1664,727,1224,166,502,35,4002,136,835,285,1827,1519
46,전남,150,순천시,54,18703,7158,1923,7922,695,2744,208,18425,851,5532,1372,7391,8173
44,충남,810,예산군,51,3126,1053,301,1347,84,326,9,2811,126,867,143,1206,1185
29,광주,200,광산구,54,18178,6698,1857,7009,762,2672,202,17575,865,4942,1698,7037,8259
41,경기,287,고양시 일산서구,55,5952,1783,1021,2388,281,1118,111,6798,359,1547,668,2944,2751
11,서울,590,동작구,51,35093,11301,5771,14902,1725,5808,500,41669,1858,6089,2979,17565,16143
45,전북,800,부안군,52,617,201,56,256,11,52,0,501,24,181,29,206,230
41,경기,430,의왕시,52,11035,3421,1541,4413,516,1853,131,11736,601,2812,1281,4968,4928
43,충북,150,제천시,55,3164,1265,262,1178,115,417,16,3280,178,796,198,1531,1414
42,강원,830,양양군,52,363,102,27,132,25,60,0,390,16,110,21,181,157
41,경기,171,안양시 만안구,53,23041,7691,3086,9167,970,3147,250,24902,1108,5059,2110,11125,10361
48,경남,890,합천군,54,313,78,30,124,10,27,0,304,9,92,30,108,128
27,대구,230,북구,53,35624,12431,5208,12574,1260,4262,271,35202,1445,8421,2491,15770,15948
41,경기,117,수원시 영통구,53,39953,12421,7370,15659,1747,6684,363,43545,1731,9814,4287,17919,17652
45,전북,750,임실군,54,330,110,22,124,9,29,0,246,11,92,21,96,117
11,서울,380,은평구,52,40382,12245,6043,17417,1703,5582,600,47299,2037,7146,3055,20228,19207
36,세종,110,세종시,55,28425,9815,3731,10948,1313,4176,299,27437,1186,7919,2915,11117,12083
