자원번호,자원명,분류
3286,Streptococcus gordonii,Bacteria
3313,Brevibacillus laterosporus,Bacteria
3321,Peptoniphilus asaccharolyticus,Bacteria
3323,Thomasclavelia ramosa,Bacteria
3341,Staphylococcus haemolyticus,Bacteria
3342,Staphylococcus xylosus,Bacteria
3344,Staphylococcus intermedius,Bacteria
3345,Staphylococcus saprophyticus subsp. saprophyticus,Bacteria
3346,Lysinibacillus sphaericus,Bacteria
3347,Niallia circulans,Bacteria
3348,Bacillus pumilus,Bacteria
3379,Arthrobacter crystallopoietes,Bacteria
3393,Metabacillus fastidiosus,Bacteria
3397,Geobacillus kaustophilus,Bacteria
3398,Paenibacillus pabuli,Bacteria
3399,Peribacillus psychrosaccharolyticus,Bacteria
3401,Paenibacillus validus,Bacteria
3410,Cellulomonas cellasea,Bacteria
3412,Chitinophaga pinensis,Bacteria
3414,Corynebacterium flavescens,Bacteria
3425,Bifidobacterium ruminantium,Bacteria
3427,Bifidobacterium gallinarum subsp. saeculare,Bacteria
3431,Corynebacterium accolens,Bacteria
3432,Corynebacterium amycolatum,Bacteria
3433,Corynebacterium cystitidis,Bacteria
3434,Corynebacterium pilosum,Bacteria
3435,Corynebacterium xerosis,Bacteria
3443,Listeria grayi,Bacteria
3444,Listeria ivanovii subsp. ivanovii,Bacteria
3446,Sporosarcina psychrophila,Bacteria
3447,Schinkia azotoformans,Bacteria
3448,Jeotgalibacillus marinus,Bacteria
3449,Priestia flexa,Bacteria
3452,Bacillus thuringiensis,Bacteria
3453,Bacillus mycoides,Bacteria
3454,Lysinibacillus fusiformis,Bacteria
3456,Paenibacillus lautus,Bacteria
3457,Alicyclobacillus acidoterrestris,Bacteria
3492,Curtobacterium pusillum,Bacteria
3498,Levilactobacillus brevis,Bacteria
3499,Weissella confusa,Bacteria
3500,Lentilactobacillus hilgardii,Bacteria
3501,Ligilactobacillus animalis,Bacteria
3503,Lentilactobacillus parabuchneri,Bacteria
3504,Weissella viridescens,Bacteria
3505,Leuconostoc mesenteroides subsp. mesenteroides,Bacteria
3506,Lapidilactobacillus dextrinicus,Bacteria
3507,Pediococcus pentosaceus,Bacteria
3510,Lacticaseibacillus paracasei subsp. paracasei,Bacteria
3520,Brochothrix campestris,Bacteria
3522,Microbacterium arborescens,Bacteria
5008,Cutibacterium acnes subsp. acnes,Bacteria
5009,Clostridioides difficile,Bacteria
5013,Bacteroides fragilis,Bacteria
5014,Clostridium perfringens,Bacteria
9013,Actinomyces naeslundii,Bacteria
9053,Saccharopolyspora erythraea,Bacteria
9064,Streptomyces olivochromogenes,Bacteria
9067,Streptosporangium roseum,Bacteria
9068,Actinoplanes philippinensis,Bacteria
9069,Promicromonospora citrea,Bacteria
9070,Micromonospora chalcea,Bacteria
9073,Dactylosporangium aurantiacum,Bacteria
9076,Thermoactinomyces vulgaris,Bacteria
9080,Streptomyces griseus subsp. griseus,Bacteria
9082,Rhodococcus equi,Bacteria
9084,Oerskovia turbata,Bacteria
9086,Rhodococcus rhodochrous,Bacteria
9087,Mycobacterium phlei,Bacteria
9097,Corynebacterium glutamicum,Bacteria
9099,Brevibacterium linens,Bacteria
9100,Curtobacterium citreum,Bacteria
9103,Microbacterium testaceum,Bacteria
9106,Nocardioides simplex,Bacteria
9108,Mycobacterium smegmatis,Bacteria
9110,Actinomadura pelletieri,Bacteria
9115,Saccharomonospora viridis,Bacteria
9119,Actinoplanes regularis,Bacteria
9121,Pilimelia terevasa,Bacteria
9125,Actinosynnema mirum,Bacteria
9129,Actinomadura kijaniata,Bacteria
9130,Nocardiopsis prasina,Bacteria
9133,Terrabacter tumescens,Bacteria
9134,Nocardioides jensenii,Bacteria
9135,Streptomyces griseus subsp. griseus,Bacteria
9150,Saccharomonospora viridis,Bacteria
9151,Pseudonocardia thermophila,Bacteria
9152,Saccharomonospora caesia,Bacteria
9153,Saccharomonospora caesia,Bacteria
9154,Amycolatopsis azurea,Bacteria
9155,Amycolatopsis fastidiosa,Bacteria
9172,Streptomyces bikiniensis,Bacteria
9173,Nonomuraea dietziae,Bacteria
9177,Geodermatophilus obscurus,Bacteria
9181,Microbispora rosea subsp. rosea,Bacteria
9182,Kitasatospora setae,Bacteria
9186,Nocardioides albus,Bacteria
9190,Nocardiopsis dassonvillei subsp. dassonvillei,Bacteria
9202,Streptomyces albidoflavus,Bacteria
9215,Micromonospora sagamiensis,Bacteria
9216,Micromonospora sagamiensis subsp. flava,Bacteria
9218,Streptomyces spectabilis,Bacteria
9220,Streptomyces xantophaeus,Bacteria
9224,Saccharopolyspora hirsuta subsp. kobensis,Bacteria
9232,Agromyces ramosus,Bacteria
9233,Leifsonia aquatica,Bacteria
9237,Kutzneria albida,Bacteria
9239,Streptosporangium pseudovulgare,Bacteria
9241,Microbispora mesophila,Bacteria
9248,Actinomadura cremea subsp. rifamycini,Bacteria
9252,Actinoallomurus spadix,Bacteria
9254,Actinoplanes derwentensis,Bacteria
9255,Actinoplanes ferrugineus,Bacteria
9257,Actinoplanes palleronii,Bacteria
9258,Actinoplanes digitatis,Bacteria
9259,Streptomyces yanii,Bacteria
9261,Nonomurea angiospora,Bacteria
9269,Nonomurea ferruginea,Bacteria
9270,Thermopolyspora flexuosa,Bacteria
